id,destination,origin,year,migrants
485,13,3,1990,20442
486,13,10,1990,5863
487,13,136,1990,140
488,13,120,1990,357
489,13,119,1990,508
490,13,68,1990,57
491,13,5,1990,60505
492,13,18,1990,3442
493,13,19,1990,1728
494,13,20,1990,728
495,13,144,1990,257
496,13,8,1990,228
497,13,73,1990,174
498,13,162,1990,187
499,13,9,1990,20949
500,13,179,1990,7934
501,13,22,1990,8
502,13,23,1990,61
503,13,128,1990,340
504,13,129,1990,522
505,13,145,1990,4235
506,13,25,1990,1777
507,13,27,1990,771
508,13,146,1990,155
509,13,26,1990,1291
510,13,142,1990,21908
511,13,50,1990,1614
512,13,28,1990,5876
513,3,13,1990,89
514,3,105,1990,552
515,3,172,1990,140163
516,3,5,1990,13339
517,3,177,1990,9042
518,3,8,1990,9670
519,3,48,1990,4240
520,3,1,1990,40088
521,3,50,1990,9090
522,79,76,1990,226
523,79,78,1990,55
524,79,95,1990,0
525,79,172,1990,0
526,79,81,1990,0
527,79,82,1990,451
528,79,84,1990,565
529,79,110,1990,2557
530,79,85,1990,0
531,79,5,1990,441
532,79,86,1990,622
533,79,90,1990,0
534,79,91,1990,3317
535,79,92,1990,3676
536,79,113,1990,0
537,79,93,1990,1750
538,79,50,1990,2988
539,29,2,1990,140
540,29,141,1990,27
541,29,12,1990,15651
542,29,103,1990,76
543,29,66,1990,44
544,29,11,1990,6645
545,29,67,1990,28
546,29,105,1990,69
547,29,30,1990,30
548,29,81,1990,22
549,29,31,1990,83
550,29,39,1990,130
551,29,120,1990,11
552,29,40,1990,3429
553,29,42,1990,1185
554,29,15,1990,9868
555,29,69,1990,32
556,29,56,1990,164
557,29,32,1990,291
558,29,5,1990,24
559,29,6,1990,25
560,29,44,1990,16
561,29,17,1990,192
562,29,57,1990,10
563,29,167,1990,81148
564,29,18,1990,13
565,29,176,1990,97
566,29,168,1990,6071
567,29,20,1990,32
568,29,46,1990,11085
569,29,47,1990,18380
570,29,48,1990,49
571,29,9,1990,24
572,29,33,1990,235
573,29,35,1990,10
574,29,36,1990,791522
575,29,63,1990,16
576,29,37,1990,25
577,29,1,1990,182
578,29,65,1990,31
579,29,49,1990,190
580,29,74,1990,22
581,29,25,1990,40
582,29,169,1990,6587
583,29,27,1990,15
584,29,26,1990,11
585,29,170,1990,6339
586,29,38,1990,261845
587,29,50,1990,340
588,29,114,1990,21
589,29,171,1990,17154
590,29,28,1990,14
591,67,2,1990,93
592,67,51,1990,2157
593,67,141,1990,26077
594,67,52,1990,0
595,67,134,1990,1282
596,67,76,1990,0
597,67,103,1990,1156
598,67,11,1990,7
599,67,66,1990,1293
600,67,12,1990,8
601,67,78,1990,13
602,67,13,1990,55
603,67,3,1990,554
604,67,79,1990,20
605,67,29,1990,150
606,67,95,1990,0
607,67,151,1990,1748
608,67,4,1990,158
609,67,53,1990,308
610,67,147,1990,24
611,67,105,1990,1585
612,67,30,1990,996
613,67,152,1990,488
614,67,116,1990,1251
615,67,153,1990,459
616,67,135,1990,2109
617,67,80,1990,0
618,67,136,1990,202
619,67,106,1990,4908
620,67,172,1990,4851
621,67,107,1990,1897
622,67,117,1990,0
623,67,137,1990,6195
624,67,96,1990,136
625,67,54,1990,48
626,67,81,1990,335
627,67,14,1990,77
628,67,31,1990,37
629,67,176,1990,1679
630,67,137,1990,45711
631,67,39,1990,2030
632,67,118,1990,76
633,67,82,1990,97
634,67,83,1990,1804
635,67,108,1990,1603
636,67,142,1990,1638
637,67,97,1990,276
638,67,138,1990,2142
639,67,119,1990,1
640,67,40,1990,58
641,67,148,1990,0
642,67,120,1990,3433
643,67,42,1990,473
644,67,68,1990,109361
645,67,139,1990,308
646,67,155,1990,194
647,67,15,1990,184
648,67,69,1990,55851
649,67,156,1990,2921
650,67,55,1990,0
651,67,56,1990,19584
652,67,84,1990,0
653,67,98,1990,5732
654,67,157,1990,795
655,67,158,1990,124
656,67,110,1990,92
657,67,85,1990,1799
658,67,99,1990,96
659,67,32,1990,1309
660,67,43,1990,117
661,67,5,1990,5343
662,67,6,1990,3157
663,67,16,1990,70
664,67,44,1990,1630
665,67,17,1990,4093
666,67,57,1990,176201
667,67,86,1990,264
668,67,177,1990,3001
669,67,18,1990,467
670,67,167,1990,16
671,67,121,1990,536
672,67,19,1990,136
673,67,168,1990,8
674,67,46,1990,75
675,67,20,1990,4357
676,67,149,1990,8
677,67,159,1990,371
678,67,143,1990,216
679,67,70,1990,3
680,67,47,1990,76
681,67,71,1990,12908
682,67,122,1990,1049
683,67,123,1990,29
684,67,7,1990,2
685,67,160,1990,270
686,67,58,1990,259
687,67,161,1990,875
688,67,124,1990,2939
689,67,100,1990,1647
690,67,72,1990,77
691,67,59,1990,10
692,67,144,1990,295459
693,67,125,1990,189
694,67,150,1990,29
695,67,8,1990,59
696,67,73,1990,55946
697,67,101,1990,138
698,67,162,1990,1443
699,67,60,1990,81
700,67,48,1990,763
701,67,21,1990,2
702,67,9,1990,3767
703,67,102,1990,108
704,67,111,1990,166
705,67,112,1990,1877
706,67,179,1990,7502
707,67,33,1990,5537
708,67,61,1990,12386
709,67,22,1990,0
710,67,35,1990,1941
711,67,36,1990,190
712,67,126,1990,2580
713,67,90,1990,0
714,67,91,1990,0
715,67,92,1990,0
716,67,62,1990,13
717,67,140,1990,35
718,67,23,1990,146
719,67,164,1990,1644
720,67,63,1990,197
721,67,127,1990,56
722,67,165,1990,1891
723,67,37,1990,106
724,67,64,1990,23
725,67,128,1990,2103
726,67,115,1990,2761
727,67,65,1990,41437
728,67,10,1990,238
729,67,145,1990,175
730,67,113,1990,274
