"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
germany,276,3293128,3898397,4503666,4676178,4848689,5037961,7891635
liechtenstein,438,5956,7068,7980,9434,10867,11605,12619
luxembourg,442,56062,62292,69286,74951,81420,126129,151653
monaco,492,9471,9955,10458,10322,10325,12599,12897
netherlands,528,592343,668236,765302,843444,881264,952313,1134404
switzerland,756,701110,769043,841855,922387,1005381,1103416,1222202
latin america and the caribbean,904,3582217,3335229,3266229,3572498,4139431,4738649,7473421
caribbean,915,538972,582117,627683,656072,684560,798867,852474
anguilla,660,1258,1584,1910,2210,2415,2594,2706
antigua and barbuda,28,5775,8046,10316,11052,11788,12524,13120
aruba,533,6429,9974,13519,14559,15312,16108,24307
bahamas,44,13827,16620,19414,23613,27883,29963,32161
barbados,52,10065,11235,12405,13575,14746,15488,15668
bonaire sint eustatius and saba,535,0,0,0,0,0,0,0
british virgin islands,92,4126,5034,6386,7401,8295,9413,10681
cayman islands,136,4587,6339,9671,10515,12310,13406,15017
cuba,192,17278,12559,8212,5152,3232,2027,1312
curaao,531,0,0,0,0,14196,15467,24958
dominica,212,1309,1623,1955,2491,4200,4215,4314
dominican republic,214,181677,198842,216008,227826,239808,353448,382542
grenada,308,2106,2746,3386,3424,3463,3502,3292
guadeloupe,312,32718,36248,39778,41273,42768,38680,37914
haiti,332,10606,10076,9572,9093,9552,10036,10499
jamaica,388,9981,11242,12503,12248,12024,11765,12008
martinique,474,19091,22271,25451,25891,26330,29432,29199
montserrat,500,1029,825,622,639,664,696,711
puerto rico,630,153354,160739,168480,166780,142939,130916,114868
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,1642,2196,3068,3501,3806,3916,4066
saint lucia,662,2618,3563,4960,4841,4377,4179,4004
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,1928,2011,2099,2198,2302,2355,2443
sint maarten dutch part,534,0,0,0,6285,12570,13077,13822
trinidad and tobago,780,23528,21303,19288,20647,23152,24464,39179
turks and caicos islands,796,2620,3643,4665,6787,8907,11759,13325
united states virgin islands,850,24824,25760,26730,26726,26722,26728,26744
central america,916,903333,643244,554886,688185,875029,924739,1165930
belize,84,16393,17512,18631,21052,23475,27473,31210
costa rica,188,212173,184485,156798,176445,196055,197613,263636
el salvador,222,22218,18564,14909,17034,19157,20006,20344
guatemala,320,112615,66913,21211,26048,30919,35728,39916
honduras,340,137573,76077,14581,14476,14306,20123,20575
mexico,484,348353,229589,270896,359724,490779,508232,601509
nicaragua,558,20860,13364,15423,17774,19135,20723,21683
panama,591,33148,36740,42437,55632,81203,94841,167057
south america,931,2139912,2109868,2083660,2228241,2579842,3015043,5455017
argentina,32,788130,753027,717924,775308,831696,960310,1062533
bolivia plurinational state of,68,37549,42806,47665,56019,64380,74949,85961
brazil,76,426147,396152,366156,343019,319921,383457,582881
chile,152,54547,69632,84717,131414,178111,319714,830073
colombia,170,53109,54666,56223,54938,68391,85158,953735
ecuador,218,38531,57879,77227,97472,193497,200352,406860
falkland islands malvinas,238,488,510,636,675,807,873,1089
french guiana,254,34843,36869,38895,42729,46564,50399,56642
guyana,328,2200,3405,4611,5817,4530,4794,14497
paraguay,600,102816,97869,92052,87698,83394,81303,88311
peru,604,28376,28062,32839,38959,56097,91090,642404
suriname,740,9767,12091,14938,18338,21658,23544,26271
uruguay,858,45830,43427,41095,37658,34535,35642,50937
venezuela bolivarian republic of,862,517579,513473,508682,538197,676261,703458,652823
northern america,905,13497226,16401865,19983832,22544557,24944393,26993925,28321426
bermuda,60,7557,8044,8540,8783,9035,9421,9724
canada,124,2109652,2356105,2659135,2915838,3236539,3533164,3828361
greenland,304,6472,4875,4616,4461,4119,3951,3822
saint pierre and miquelon,666,560,682,756,597,531,516,523
united states of america,840,11372985,14032159,17310785,19614878,21694169,23446873,24478996
oceania,909,2415657,2535582,2676615,2988095,3539535,4006465,4645856
australia and new zealand,927,2271419,2382510,2519827,2826880,3381077,3846117,4480351
australia,36,2013196,2093280,2189900,2419190,2922030,3343330,3812187
new zealand,554,258223,289230,329927,407690,459047,502787,668164
melanesia,928,50712,54089,52951,57551,61528,65369,67814
fiji,242,6847,6726,6601,6563,7143,7421,7601
new caledonia,540,20885,23908,26932,29909,32886,36181,38284
papua new guinea,598,19362,19832,15874,17851,18466,18734,18895
solomon islands,90,2349,2328,2224,1830,1546,1450,1415
vanuatu,548,1269,1295,1320,1398,1487,1583,1619
micronesia,954,60858,63046,64928,63769,57754,57402,60062
guam,316,39364,38822,38280,38602,38924,39246,41508
kiribati,296,1107,1139,1188,1312,1512,1539,1650
marshall islands,584,721,916,1164,1485,1895,2011,2021
micronesia fed states of,583,2099,2119,1721,1565,1503,1473,1515
nauru,520,1506,1395,1283,1208,486,1037,1297
northern mariana islands,580,14261,15847,17387,15977,10223,9100,9183
palau,585,1800,2808,3905,3620,3211,2996,2888
polynesia,957,32668,35937,38909,39895,39176,37577,37629
american samoa,16,11175,12037,12898,12498,12098,11998,12047
cook islands,184,1443,1497,1552,1724,1895,2090,2290
french polynesia,258,15444,16689,17604,18405,18037,17136,17150
niue,570,245,257,268,282,319,319,319
samoa,882,1771,2451,3101,2940,2594,2151,2031
tokelau,772,196,268,366,500,543,564,586
tonga,776,1488,1718,1981,2324,2503,2158,2044
tuvalu,798,180,148,121,115,121,126,132
wallis and futuna islands,876,726,872,1018,1107,1066,1035,1030
