,"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
249, northern america,905,1536499,1613577,1721468,1890500,2141004,2154270,2306471
250,   bermuda*,60,36990,21882,7117,7516,7725,8218,10795
251,   canada,124,629424,670494,715140,732574,785079,784389,793291
252,   greenland*,304,5733,6809,7976,8580,8907,9557,10208
253,   saint pierre and miquelon*,666,245,231,224,207,201,178,191
254,   united states of america*,840,864107,914161,991011,1141623,1339092,1351928,1491986
255, oceania ,909,492573,552228,642390,710600,802363,887911,1002560
256,  australia and new zealand,927,353679,391525,450533,502354,575326,633506,711082
257,   australia*,36,161777,184048,206283,227715,250505,270033,311656
258,   new zealand*,554,191902,207477,244250,274639,324821,363473,399426
259,  melanesia,928,53683,64079,77917,91751,106545,120246,134495
260,   fiji,242,46535,55633,68600,81698,96168,109257,123040
261,   new caledonia*,540,2221,2466,2667,2733,2713,2859,2984
262,   papua new guinea,598,1537,2024,2273,2269,2141,2629,2457
263,   solomon islands,90,1078,1261,1382,1543,1726,1973,2198
264,   vanuatu,548,2312,2695,2995,3508,3797,3528,3816
265,  micronesia,954,10993,14698,19784,20098,19582,21081,25819
266,   guam*,316,682,763,1410,1307,1207,1151,1206
267,   kiribati,296,2116,2213,2093,2081,1826,2110,2608
268,   marshall islands,584,719,2074,3487,3317,3278,3862,5571
269,   micronesia (fed. states of),583,3778,5988,8396,9119,9693,10321,12584
270,   nauru,520,792,813,824,936,1036,1139,1240
271,   northern mariana islands*,580,1318,1373,1432,1379,1282,1268,1340
272,   palau,585,1588,1474,2142,1959,1260,1230,1270
273,  polynesia*,957,74218,81926,94156,96397,100910,113078,131164
274,   american samoa*,16,992,1273,1557,1261,1060,969,908
275,   cook islands*,184,9108,8860,9987,10030,10491,10864,10653
276,   french polynesia*,258,1549,1870,2175,1347,717,896,970
277,   niue*,570,3026,2923,2961,2703,2738,2728,2631
278,   samoa,882,38259,42111,47970,50391,53367,59346,69061
279,   tokelau*,772,848,910,1044,1053,1078,1075,1044
280,   tonga,776,16469,19393,23565,24440,26091,29727,37799
281,   tuvalu,798,1147,1358,1257,1435,1536,1610,1854
282,   wallis and futuna islands*,876,2820,3228,3640,3737,3832,5863,6244
283,other,2003,4231344,3701273,3469772,3723801,4155744,5233330,6123953
