,pais,year,origen,destino,total
813,lao peoples democratic republic,2005,897002,20371,-876631
180,puerto rico,1990,1200245,321909,-878336
1498,democratic republic of the congo,2020,1832069,952871,-879198
912,jamaica,2005,905170,24284,-880886
1347,ukraine,2015,5797550,4915142,-882408
339,sri lanka,1995,923530,40841,-882689
1076,azerbaijan,2010,1160863,276901,-883962
589,georgia,2000,967022,76117,-890905
943,peru,2005,969002,77877,-891125
437,el salvador,1995,933103,39537,-893566
871,albania,2005,966032,64739,-901293
1180,brazil,2010,1495404,592640,-902764
202,colombia,1990,1009148,104277,-904871
1398,dominican republic,2015,1454602,549289,-905313
415,cuba,1995,934168,26187,-907981
1566,azerbaijan,2020,1163922,252228,-911694
1582,yemen,2020,1301166,387113,-914053
682,el salvador,2000,949042,31713,-917329
584,sri lanka,2000,979093,40132,-938961
633,italy,2000,3067498,2121688,-945810
1664,honduras,2020,985077,39195,-945882
259,somalia,1995,968956,19527,-949429
911,haiti,2005,967894,16360,-951534
1157,jamaica,2010,989790,23677,-966113
882,portugal,2005,1743009,771184,-971825
504,somalia,2000,1006128,20097,-986031
1301,cambodia,2015,1074572,73962,-1000610
609,romania,2000,1138825,134254,-1004571
1643,dominican republic,2020,1608567,603794,-1004773
1402,jamaica,2015,1031596,23165,-1008431
1546,cambodia,2020,1104819,79341,-1025478
660,cuba,2000,1047789,18545,-1029244
1094,bulgaria,2010,1106483,76287,-1030196
749,somalia,2005,1060953,20768,-1040185
1418,guatemala,2015,1118115,74852,-1043263
1588,republic of moldova,2020,1159443,104438,-1055005
1339,bulgaria,2015,1179625,123803,-1055822
1116,albania,2010,1117940,52784,-1065156
425,puerto rico,1995,1405619,338067,-1067552
1617,portugal,2020,2081419,1001963,-1079456
927,el salvador,2005,1118793,36029,-1082764
1361,albania,2015,1142844,52031,-1090813
1647,jamaica,2020,1118931,23629,-1095302
1156,haiti,2010,1123190,17182,-1106008
1372,portugal,2015,1971655,864814,-1106841
447,colombia,1995,1215967,106943,-1109024
829,sri lanka,2005,1151553,39526,-1112027
1672,colombia,2020,3024273,1905393,-1118880
570,myanmar,2000,1224310,98011,-1126299
120,russian federation,1990,12653331,11524948,-1128383
1072,nepal,2010,1712697,581889,-1130808
1592,ukraine,2020,6139144,4997387,-1141757
33,egypt,1990,1321915,173833,-1148082
905,cuba,2005,1160309,11693,-1148616
831,azerbaijan,2005,1455180,301834,-1153346
77,indonesia,1990,1622259,465612,-1156647
1127,portugal,2010,1927397,762825,-1164572
1058,lao peoples democratic republic,2010,1198862,32955,-1165907
1252,democratic republic of the congo,2015,1572222,390142,-1182080
1188,peru,2010,1299095,104706,-1194389
192,el salvador,1990,1241849,47360,-1194489
1606,albania,2020,1250451,48810,-1201641
835,iraq,2005,1340599,134863,-1205736
1261,sudan,2015,1842602,620523,-1222079
607,poland,2000,2047626,825251,-1222375
1303,lao peoples democratic republic,2015,1288179,45538,-1242641
670,puerto rico,2000,1600058,355038,-1245020
1548,lao peoples democratic republic,2020,1296051,48731,-1247320
845,turkey,2005,2577305,1324108,-1253197
1433,peru,2015,1410199,154774,-1255425
96,azerbaijan,1990,1634157,360600,-1273557
1663,guatemala,2020,1368431,84311,-1284120
915,puerto rico,2005,1640015,352144,-1287871
1172,el salvador,2010,1337085,40342,-1296743
586,azerbaijan,2000,1630589,327540,-1303049
383,bosnia and herzegovina,1995,1372526,69476,-1303050
1150,cuba,2010,1314739,7373,-1307366
1325,iraq,2015,1675613,359352,-1316261
692,colombia,2000,1433940,109609,-1324331
278,egypt,1995,1492004,166955,-1325049
1054,republic of korea,2010,2252321,919987,-1332334
1090,turkey,2010,2708930,1373749,-1335181
637,portugal,2000,1993793,651472,-1342321
110,turkey,1990,2512944,1163686,-1349258
341,azerbaijan,1995,1712214,344070,-1368144
392,portugal,1995,1920865,532822,-1388043
767,algeria,2005,1599647,197728,-1401919
628,bosnia and herzegovina,2000,1496691,82952,-1413739
1074,sri lanka,2010,1454292,38959,-1415333
1160,puerto rico,2010,1731818,304969,-1426849
388,italy,1995,3207728,1774954,-1432774
1405,puerto rico,2015,1715817,280494,-1435323
147,portugal,1990,1871869,435782,-1436087
1012,algeria,2010,1655264,217268,-1437996
1497,democratic republic of the congo,2020,1832069,387606,-1444463
1401,haiti,2015,1467042,18047,-1448995
873,bosnia and herzegovina,2005,1501036,47287,-1453749
74,republic of korea,1990,1513162,43247,-1469915
1417,el salvador,2015,1512895,42059,-1470836
85,viet nam,1990,1505588,28118,-1477470
809,republic of korea,2005,1974513,486065,-1488448
1584,bulgaria,2020,1683074,184363,-1498711
1395,cuba,2015,1505827,4649,-1501178
579,india,2000,7928051,6411331,-1516720
768,egypt,2005,1807941,285006,-1522935
523,egypt,2000,1708296,184774,-1523522
108,state of palestine,1990,1812673,288332,-1524341
1118,bosnia and herzegovina,2010,1572925,38945,-1533980
994,somalia,2010,1595328,48106,-1547222
1363,bosnia and herzegovina,2015,1593430,38597,-1554833
355,turkey,1995,2771731,1216173,-1555558
1662,el salvador,2020,1599058,42767,-1556291
322,indonesia,1995,1937233,378960,-1558273
600,turkey,2000,2847334,1280963,-1566371
319,republic of korea,1995,1694236,123886,-1570350
1257,algeria,2015,1836502,239473,-1597029
1650,puerto rico,2020,1850529,247132,-1603397
1319,sri lanka,2015,1656253,39706,-1616547
564,republic of korea,2000,1875408,244224,-1631184
1608,bosnia and herzegovina,2020,1687639,36042,-1651597
815,myanmar,2005,1736590,83025,-1653565
35,morocco,1990,1748116,54895,-1693221
1485,south sudan,2020,2575870,882252,-1693618
1570,iraq,2020,2077976,365766,-1712210
1646,haiti,2020,1769671,18884,-1750787
1640,cuba,2020,1757300,3024,-1754276
1317,nepal,2015,2270166,509471,-1760695
1502,algeria,2020,2022337,250378,-1771959
937,colombia,2005,1883904,106523,-1777381
330,viet nam,1995,1842320,51262,-1791058
280,morocco,1995,1883924,50360,-1833564
257,rwanda,1995,2060363,215735,-1844628
81,philippines,1990,2012499,154071,-1858428
1564,sri lanka,2020,1960025,40254,-1919771
143,italy,1990,3350982,1428219,-1922763
854,romania,2005,2105906,145162,-1960744
1239,somalia,2015,2008490,40990,-1967500
1484,somalia,2020,2034221,58590,-1975631
353,state of palestine,1995,2274589,281767,-1992822
525,morocco,2000,2077010,53034,-2023976
10,mozambique,1990,2222354,122332,-2100022
575,viet nam,2000,2158532,56754,-2101778
1562,nepal,2020,2599701,487564,-2112137
567,indonesia,2000,2415077,292307,-2122770
852,poland,2005,2884657,722509,-2162148
326,philippines,1995,2481963,207345,-2274618
1013,egypt,2010,2586643,310017,-2276626
1318,pakistan,2015,5798210,3506520,-2291690
820,viet nam,2005,2376225,51768,-2324457
770,morocco,2005,2470656,56222,-2414434
1060,myanmar,2010,2492274,76414,-2415860
1182,colombia,2010,2554020,130309,-2423711
1080,iraq,2010,2554929,120466,-2434463
812,indonesia,2005,2781287,289310,-2491977
598,state of palestine,2000,2767331,275202,-2492129
1427,colombia,2015,2698688,159407,-2539281
1065,viet nam,2010,2630742,61756,-2568986
571,philippines,2000,3062665,318095,-2744570
1305,myanmar,2015,2842494,73309,-2769185
1015,morocco,2010,2860702,71189,-2789513
1258,egypt,2015,3151069,353641,-2797428
1310,viet nam,2015,2909491,72793,-2836698
1260,morocco,2015,2971770,92424,-2879346
843,state of palestine,2005,3258102,274520,-2983582
1563,pakistan,2020,6328400,3276580,-3051820
1503,egypt,2020,3610461,543937,-3066524
1097,poland,2010,3716338,642417,-3073921
1057,indonesia,2010,3415963,307487,-3108476
161,caribbean,1990,4139775,1031083,-3108692
1344,romania,2015,3420714,281048,-3139666
1505,morocco,2020,3262222,102358,-3159864
1099,romania,2010,3363361,177211,-3186150
1088,state of palestine,2010,3539908,273840,-3266068
1589,romania,2020,3987093,705310,-3281783
1555,viet nam,2020,3392025,76767,-3315258
816,philippines,2005,3684528,257468,-3427060
1342,poland,2015,4077038,611855,-3465183
1333,state of palestine,2015,3773988,273163,-3500825
1550,myanmar,2020,3711751,76446,-3635305
824,india,2005,9588533,5936740,-3651793
195,mexico,1990,4395355,695674,-3699681
1302,indonesia,2015,4065095,338124,-3726971
1578,state of palestine,2020,4022791,272784,-3750007
67,china,1990,4231625,376361,-3855264
406,caribbean,1995,5035853,1121563,-3914290
1587,poland,2020,4825096,817254,-4007842
821,afghanistan,2005,4116739,87314,-4029425
1681,venezuela bolivarian republic of,2020,5415337,1324193,-4091144
1547,indonesia,2020,4601369,355505,-4245864
331,afghanistan,1995,4347049,71522,-4275527
822,bangladesh,2005,5492474,1062270,-4430204
577,bangladesh,2000,5441094,987853,-4453241
1061,philippines,2010,4692695,208599,-4484096
332,bangladesh,1995,5423528,934735,-4488793
87,bangladesh,1990,5450443,881617,-4568826
312,china,1995,5030321,442198,-4588123
576,afghanistan,2000,4750677,75917,-4674760
651,caribbean,2000,5966487,1216872,-4749615
1067,bangladesh,2010,6319871,1345546,-4974325
1311,afghanistan,2015,5400916,339432,-5061484
1066,afghanistan,2010,5269518,102276,-5167242
896,caribbean,2005,6506671,1275731,-5230940
1557,bangladesh,2020,7401763,2115408,-5286355
1306,philippines,2015,5498232,211862,-5286370
557,china,2000,5884919,508034,-5376885
1312,bangladesh,2015,6831282,1422179,-5409103
1334,syrian arab republic,2015,6447843,835716,-5612127
1556,afghanistan,2020,5853838,144098,-5709740
1551,philippines,2020,6094307,225525,-5868782
1141,caribbean,2010,7273502,1338893,-5934609
440,mexico,1995,6949276,458549,-6490727
1386,caribbean,2015,8135307,1501081,-6634226
802,china,2005,7337211,678947,-6658264
1631,caribbean,2020,9078772,1605148,-7473624
1579,syrian arab republic,2020,8457214,868711,-7588503
86,afghanistan,1990,7679582,57686,-7621896
1069,india,2010,13221963,5574018,-7647945
1047,china,2010,8714648,849861,-7864787
685,mexico,2000,9562878,538051,-9024827
1292,china,2015,10240817,978046,-9262771
1537,china,2020,10461170,1039675,-9421495
1665,mexico,2020,11185737,1197624,-9988113
930,mexico,2005,10817810,712648,-10105162
1314,india,2015,15885657,5210847,-10674810
1420,mexico,2015,11923234,1013691,-10909543
1175,mexico,2010,12415222,969710,-11445512
1559,india,2020,17869492,4878704,-12990788
