"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Latvia,,428,B, 290 800, 234 216, 177 632, 154 745, 124 675, 104 011, 97 022
   Lithuania,,440,B, 164 585, 128 641, 100 546, 94 189, 69 606, 57 508, 73 148
   Norway*,,578,B, 99 562, 117 222, 144 826, 176 444, 267 235, 389 370, 439 206
   Sweden,,752,B, 383 085, 450 945, 480 211, 538 490, 648 004, 786 870,1 008 006
   United Kingdom*,10,826,B,1 756 448,1 978 711,2 228 628,2 818 177,3 454 456,4 021 255,4 464 423
  Southern Europe,,925,,2 062 991,2 959 579,3 688 926,5 851 155,7 876 651,7 427 084,8 355 064
   Albania,,8,B, 30 579, 33 284, 35 990, 32 993, 26 901, 26 517, 24 908
   Andorra,,20,C, 20 990, 23 588, 22 093, 26 466, 27 287, 21 485, 23 333
   Bosnia and Herzegovina,,70,I R, 26 538, 33 115, 39 691, 22 481, 18 581, 18 412, 16 880
   Croatia,,191,B, 222 531, 315 733, 274 823, 271 645, 268 466, 260 473, 245 564
   Gibraltar*,11,292,B, 4 528, 4 196, 3 865, 4 518, 5 171, 5 591, 5 656
   Greece,,300,B, 330 038, 445 004, 559 794, 587 677, 640 731, 570 529, 642 639
   Holy See*,,336,I,  376,  379,  379,  381,  375,  376,  372
   Italy,,380,B, 642 414, 809 553, 976 691,1 820 290,2 663 889,2 637 798,2 965 914
   Malta,,470,B, 7 012, 8 366, 10 289, 11 899, 17 118, 28 332, 66 055
   Montenegro,,499,B,..,..,..,.., 31 639, 28 178, 27 995
   North Macedonia,,807,B, 39 661, 45 581, 52 385, 53 220, 54 067, 54 496, 54 740
   Portugal,,620,B, 209 922, 259 337, 320 319, 376 774, 371 536, 398 390, 479 936
   San Marino,,674,C, 1 728, 1 940, 2 175, 2 302, 2 761, 2 867, 2 991
   Serbia*,,688,B, 46 712, 390 134, 437 602, 383 088, 364 757, 355 180, 362 493
   Slovenia,,705,B, 89 514, 90 255, 114 772, 116 741, 145 138, 134 460, 162 815
   Spain*,,724,B, 390 448, 499 114, 838 058,2 140 680,3 238 234,2 884 000,3 272 773
  Western Europe,,926,,8 680 276,9 536 164,10 405 929,10 997 423,11 726 545,12 637 122,16 388 659
   Austria,,40,B, 368 287, 423 302, 478 318, 538 924, 607 191, 714 537, 848 395
   Belgium,,56,B, 654 543, 651 788, 636 275, 620 924, 726 881, 869 989, 984 117
   France*,12,250,B,2 999 376,3 046 083,3 092 789,3 300 859,3 554 527,3 808 573,4 130 737
   Germany,,276,B,3 293 128,3 898 397,4 503 666,4 676 178,4 848 689,5 037 961,7 891 635
   Liechtenstein,,438,B, 5 956, 7 068, 7 980, 9 434, 10 867, 11 605, 12 619
   Luxembourg,,442,B, 56 062, 62 292, 69 286, 74 951, 81 420, 126 129, 151 653
   Monaco,,492,B, 9 471, 9 955, 10 458, 10 322, 10 325, 12 599, 12 897
   Netherlands*,13,528,B, 592 343, 668 236, 765 302, 843 444, 881 264, 952 313,1 134 404
   Switzerland,,756,B, 701 110, 769 043, 841 855, 922 387,1 005 381,1 103 416,1 222 202
 LATIN AMERICA AND THE CARIBBEAN,,904,,3 582 217,3 335 229,3 266 229,3 572 498,4 139 431,4 738 649,7 473 421
  Caribbean,,915,, 538 972, 582 117, 627 683, 656 072, 684 560, 798 867, 852 474
   Anguilla*,14,660,B R, 1 258, 1 584, 1 910, 2 210, 2 415, 2 594, 2 706
   Antigua and Barbuda,,28,B R, 5 775, 8 046, 10 316, 11 052, 11 788, 12 524, 13 120
   Aruba*,15,533,B R, 6 429, 9 974, 13 519, 14 559, 15 312, 16 108, 24 307
   Bahamas,,44,B R, 13 827, 16 620, 19 414, 23 613, 27 883, 29 963, 32 161
   Barbados,,52,B R, 10 065, 11 235, 12 405, 13 575, 14 746, 15 488, 15 668
"   Bonaire, Sint Eustatius and Saba*",16,535,B,..,..,..,..,..,..,..
   British Virgin Islands*,18,92,B R, 4 126, 5 034, 6 386, 7 401, 8 295, 9 413, 10 681
   Cayman Islands*,19,136,C R, 4 587, 6 339, 9 671, 10 515, 12 310, 13 406, 15 017
   Cuba,,192,B, 17 278, 12 559, 8 212, 5 152, 3 232, 2 027, 1 312
   Curaçao*,20,531,B R,..,..,..,.., 14 196, 15 467, 24 958
   Dominica,,212,B, 1 309, 1 623, 1 955, 2 491, 4 200, 4 215, 4 314
   Dominican Republic,,214,B R, 181 677, 198 842, 216 008, 227 826, 239 808, 353 448, 382 542
