"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Puerto Rico*,630,321909.0,338067.0,355038.0,352144.0,304969.0,280494.0,247132.0
   Saint Barthélemy*,652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   Saint Kitts and Nevis,659,3210.0,4248.0,5871.0,6682.0,7245.0,7443.0,7725.0
   Saint Lucia,662,5305.0,7155.0,9871.0,9839.0,9050.0,8673.0,8338.0
   Saint Martin (French part)*,663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   Saint Vincent and the Grenadines,670,3970.0,4135.0,4307.0,4436.0,4569.0,4637.0,4738.0
   Sint Maarten (Dutch part)*,534,0.0,0.0,0.0,13099.0,26203.0,27295.0,28845.0
   Trinidad and Tobago,780,50666.0,45994.0,41753.0,44812.0,48226.0,50021.0,78849.0
   Turks and Caicos Islands*,796,5062.0,7039.0,9015.0,13115.0,17216.0,22723.0,25748.0
   United States Virgin Islands*,850,51970.0,54241.0,56611.0,56647.0,56684.0,56721.0,56753.0
   Belize,84,30404.0,33446.0,36488.0,41438.0,46390.0,54615.0,62043.0
   Costa Rica,188,417628.0,364287.0,310946.0,358398.0,405779.0,411697.0,520729.0
   El Salvador,222,47360.0,39537.0,31713.0,36029.0,40342.0,42059.0,42767.0
   Guatemala,320,264257.0,156188.0,48119.0,57214.0,66386.0,74852.0,84311.0
   Honduras,340,270423.0,149442.0,28461.0,27934.0,27288.0,38330.0,39195.0
   Mexico,484,695674.0,458549.0,538051.0,712648.0,969710.0,1013691.0,1197624.0
   Nicaragua,558,41421.0,26619.0,30389.0,34919.0,37345.0,40261.0,42167.0
   Panama,591,62744.0,70848.0,83410.0,109461.0,157788.0,184710.0,313165.0
   Argentina,32,1649919.0,1595069.0,1540219.0,1674163.0,1805957.0,2086301.0,2281728.0
   Bolivia (Plurinational State of),68,73758.0,83598.0,92658.0,107745.0,122846.0,143008.0,164121.0
   Brazil,76,798517.0,741557.0,684596.0,638582.0,592640.0,710304.0,1079708.0
   Chile,152,107501.0,142417.0,177332.0,276360.0,375388.0,639724.0,1645015.0
   Colombia,170,104277.0,106943.0,109609.0,106523.0,130309.0,159407.0,1905393.0
   Ecuador,218,78663.0,115093.0,151523.0,189893.0,375253.0,387513.0,784787.0
   Falkland Islands (Malvinas)*,238,855.0,868.0,1067.0,1166.0,1436.0,1571.0,1957.0
   French Guiana*,254,63612.0,70131.0,76649.0,86468.0,96288.0,106108.0,119249.0
