"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   Germany,276,1 341 083,1 413 344,1 520 496,1 629 631,1 719 667,1 689 326,1 784 487
   Liechtenstein,438, 1 446, 1 304, 1 202, 1 307, 1 566, 1 565, 1 655
   Luxembourg,442, 18 542, 19 240, 19 991, 26 314, 28 889, 32 722, 40 460
   Monaco,492, 2 255, 2 388, 2 530, 9 580, 13 094, 13 915, 15 473
   Netherlands*,528, 353 394, 361 252, 372 460, 397 891, 427 577, 435 630, 484 739
   Switzerland,756, 145 200, 152 820, 169 366, 235 487, 290 100, 295 958, 326 599
 LATIN AMERICA AND THE CARIBBEAN,904,7 544 689,9 726 163,12 182 539,14 495 367,16 857 618,17 582 139,20 697 275
  Caribbean,915,1 973 524,2 347 284,2 729 146,2 979 365,3 274 934,3 802 917,4 252 967
   Anguilla*,660,  953, 1 116, 1 276, 1 220, 1 159, 1 350, 1 293
   Antigua and Barbuda,28, 9 656, 12 194, 14 856, 16 580, 18 668, 23 792, 29 948
   Aruba*,533, 2 606, 2 966, 3 395, 4 230, 5 880, 7 257, 9 326
   Bahamas,44, 10 606, 12 598, 14 737, 15 043, 15 388, 18 115, 22 329
   Barbados,52, 40 100, 42 423, 44 992, 43 951, 45 018, 47 152, 45 906
"   Bonaire, Sint Eustatius and Saba*",535,  226,  274,  326,  378, 3 150, 3 247, 3 657
   British Virgin Islands*,92, 1 340, 1 462, 1 603, 1 776, 2 173, 2 245, 2 343
   Cayman Islands*,136,  187,  363,  559,  590,  658,  796,  863
   Cuba,192, 399 033, 445 646, 499 590, 553 465, 618 056, 702 390, 822 706
   Curaçao*,531, 1 025, 1 410, 1 885, 2 327, 20 929, 3 141, 3 800
   Dominica,212, 18 576, 20 399, 22 384, 28 772, 31 285, 30 442, 32 456
   Dominican Republic,214, 196 168, 283 859, 376 036, 430 576, 496 745, 608 480, 664 406
   Grenada,308, 19 599, 24 526, 28 883, 28 858, 27 905, 30 025, 27 572
   Guadeloupe*,312, 2 558, 2 893, 3 235, 3 662, 4 393, 4 674, 4 953
   Haiti,332, 292 687, 361 848, 433 429, 515 654, 587 744, 793 349, 964 896
   Jamaica,388, 267 945, 324 401, 385 488, 402 827, 427 047, 440 347, 475 022
   Martinique*,474, 5 607, 6 043, 6 498, 6 637, 6 756, 5 516, 5 623
   Montserrat*,500, 3 363, 5 193, 7 083, 7 090, 7 844, 8 863, 10 680
   Puerto Rico*,630, 574 579, 637 593, 688 171, 710 802, 737 672, 841 611, 905 682
   Saint Barthélemy*,652,..,..,..,..,..,..,..
   Saint Kitts and Nevis,659, 8 702, 11 466, 14 309, 15 279, 16 120, 18 114, 22 359
   Saint Lucia,662, 10 050, 13 822, 17 671, 20 493, 21 372, 24 201, 29 632
   Saint Martin (French part)*,663,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,670, 17 889, 22 245, 26 215, 26 629, 25 950, 29 062, 25 768
   Sint Maarten (Dutch part)*,534,  344,  446,  591,  623, 1 563,  932, 1 065
   Trinidad and Tobago,780, 87 571, 109 768, 133 408, 139 303, 148 434, 154 574, 137 377
   Turks and Caicos Islands*,796, 1 004,  679,  345,  525,  949, 1 036, 1 136
   United States Virgin Islands*,850, 1 150, 1 651, 2 181, 2 075, 2 076, 2 206, 2 169
  Central America,916,3 539 221,4 886 482,6 477 478,7 424 343,8 489 498,8 439 482,8 312 535
   Belize,84, 15 084, 17 640, 20 421, 22 256, 24 357, 26 615, 22 097
   Costa Rica,188, 29 052, 35 626, 44 546, 50 583, 56 633, 59 116, 64 129
   El Salvador,222, 608 473, 463 004, 480 184, 568 376, 670 201, 753 461, 794 168
   Guatemala,320, 175 814, 234 806, 297 854, 375 251, 463 621, 557 854, 676 642
   Honduras,340, 66 801, 106 313, 148 387, 195 742, 249 972, 305 667, 401 073
   Mexico,484,2 358 111,3 746 874,5 172 990,5 877 135,6 668 397,6 358 119,5 947 873
   Nicaragua,558, 219 504, 216 401, 245 092, 269 682, 287 563, 305 105, 338 488
   Panama,591, 66 382, 65 818, 68 004, 65 318, 68 754, 73 545, 68 065
  South America,931,2 031 944,2 492 397,2 975 915,4 091 659,5 093 186,5 339 740,8 131 773
   Argentina,32, 203 580, 230 267, 268 387, 397 540, 463 178, 462 826, 525 891
   Bolivia (Plurinational State of),68, 115 446, 144 466, 174 719, 265 889, 368 682, 390 857, 435 335
   Brazil,76, 221 394, 323 017, 406 768, 511 722, 632 242, 637 038, 801 922
   Chile,152, 248 431, 245 982, 246 871, 260 036, 271 267, 291 195, 306 204
   Colombia,170, 458 639, 556 126, 658 250, 859 318,1 177 853,1 234 218,1 376 442
   Ecuador,218, 105 646, 159 665, 217 734, 478 800, 556 323, 538 153, 531 506
   Falkland Islands (Malvinas)*,238,  139,  336,  528,  467,  515,  578,  636
   French Guiana*,254, 1 250, 1 390, 1 548, 1 612, 1 666, 1 847, 1 904
   Guyana,328, 110 591, 139 840, 171 419, 185 054, 204 145, 222 385, 201 232
   Paraguay,600, 131 474, 147 026, 162 710, 238 432, 329 005, 363 105, 384 808
   Peru,604, 149 436, 231 433, 311 609, 437 143, 563 929, 605 953, 665 107
   Suriname,740, 86 610, 91 317, 98 738, 115 287, 116 117, 112 784, 120 783
   Uruguay,858, 116 499, 114 568, 115 418, 146 441, 161 309, 167 247, 174 801
   Venezuela (Bolivarian Republic of),862, 82 809, 106 964, 141 216, 193 918, 246 955, 311 554,2 605 202
 NORTHERN AMERICA,905,1 265 636,1 332 584,1 428 451,1 621 606,1 828 799,1 860 379,2 021 487
   Bermuda*,60, 34 691, 20 705, 6 962, 7 391, 7 588, 8 007, 10 312
   Canada,124, 364 830, 393 811, 427 501, 452 582, 482 978, 479 163, 499 038
   Greenland*,304, 3 771, 4 552, 5 412, 6 038, 6 484, 7 154, 7 658
   Saint Pierre and Miquelon*,666,  238,  246,  260,  219,  189,  222,  242
   United States of America*,840, 862 106, 913 270, 988 316,1 155 376,1 331 560,1 365 833,1 504 237
 OCEANIA ,909, 468 974, 519 067, 604 446, 680 818, 788 805, 863 511, 967 645
  Australia and New Zealand,927, 335 351, 366 709, 421 127, 481 926, 573 939, 622 696, 693 842
   Australia*,36, 139 236, 157 264, 175 553, 201 054, 236 444, 248 125, 287 109
   New Zealand*,554, 196 115, 209 445, 245 574, 280 872, 337 495, 374 571, 406 733
  Melanesia,928, 50 814, 59 221, 72 454, 85 269, 97 733, 109 523, 121 526
   Fiji,242, 43 626, 50 855, 63 308, 75 347, 87 439, 99 311, 110 816
   New Caledonia*,540, 1 927, 2 134, 2 274, 2 486, 2 664, 2 725, 2 855
   Papua New Guinea,598, 1 570, 2 035, 2 279, 2 224, 2 090, 2 351, 2 353
   Solomon Islands,90, 1 134, 1 281, 1 346, 1 456, 1 645, 1 913, 2 072
   Vanuatu,548, 2 557, 2 916, 3 247, 3 756, 3 895, 3 223, 3 430
  Micronesia,954, 10 467, 14 456, 19 250, 19 834, 19 448, 20 869, 25 179
   Guam*,316,  693,  851, 1 387, 1 228, 1 002,  981, 1 007
   Kiribati,296, 1 937, 2 033, 1 898, 1 940, 1 739, 2 017, 2 495
   Marshall Islands,584,  707, 2 080, 3 489, 3 337, 3 214, 3 763, 5 315
   Micronesia (Fed. States of),583, 3 935, 6 150, 8 518, 9 227, 9 711, 10 312, 12 361
   Nauru,520,  627,  698,  769,  933, 1 094, 1 128, 1 214
   Northern Mariana Islands*,580, 1 199, 1 274, 1 333, 1 346, 1 329, 1 339, 1 401
   Palau,585, 1 369, 1 370, 1 856, 1 823, 1 359, 1 329, 1 386
  Polynesia*,957, 72 342, 78 681, 91 615, 93 789, 97 685, 110 423, 127 098
   American Samoa*,16, 1 049, 1 365, 1 629, 1 327, 1 097,  992,  924
   Cook Islands*,184, 8 377, 8 149, 9 491, 9 550, 10 065, 10 691, 10 453
   French Polynesia*,258, 1 583, 1 868, 2 125, 1 370,  833, 1 082, 1 187
   Niue*,570, 2 832, 2 648, 2 788, 2 588, 2 609, 2 620, 2 555
   Samoa,882, 36 602, 39 841, 46 571, 48 839, 51 453, 57 509, 66 671
   Tokelau*,772,  836,  900, 1 017, 1 037, 1 090, 1 096, 1 068
   Tonga,776, 16 196, 18 815, 22 879, 23 897, 25 430, 29 476, 36 751
   Tuvalu,798, 1 203, 1 380, 1 354, 1 482, 1 475, 1 593, 1 816
   Wallis and Futuna Islands*,876, 3 664, 3 715, 3 761, 3 699, 3 633, 5 364, 5 673
OTHER,2003,4 408 990,3 776 224,3 593 958,4 096 864,4 601 492,5 685 512,6 533 198
