"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
   United Arab Emirates,784, 34 828, 40 513, 44 856, 56 056, 71 725, 83 924, 95 759
   Yemen,887, 165 179, 173 379, 185 576, 216 846, 285 154, 374 614, 453 864
 EUROPE,908,25 291 380,25 819 829,26 480 131,27 275 792,29 202 848,30 208 426,33 524 765
  Eastern Europe,923,13 550 943,13 311 350,13 245 256,14 131 109,15 231 736,15 957 749,17 726 223
   Belarus,112, 952 053, 956 274, 949 780, 897 958, 842 096, 846 213, 853 608
   Bulgaria,100, 312 610, 336 473, 362 178, 481 022, 594 303, 682 905, 990 218
   Czechia,203, 292 321, 330 447, 398 727, 415 468, 443 525, 466 490, 589 880
   Hungary,348, 195 024, 202 745, 210 376, 237 793, 263 606, 308 364, 361 925
   Poland,616, 910 509, 983 415,1 165 386,1 576 286,1 983 194,2 192 921,2 526 101
   Republic of Moldova*,498, 335 071, 322 162, 303 506, 373 243, 443 564, 498 893, 605 123
   Romania,642, 435 063, 517 245, 596 353,1 118 982,1 782 593,1 852 905,2 113 078
   Russian Federation,643,7 140 383,6 603 260,6 154 881,5 877 921,5 745 803,5 730 731,6 101 676
   Slovakia,703, 67 062, 96 414, 126 295, 143 309, 141 376, 190 282, 224 087
   Ukraine*,804,2 910 847,2 962 915,2 977 774,3 009 127,2 991 676,3 188 045,3 360 527
  Northern Europe,924,3 268 068,3 256 622,3 368 586,3 525 477,3 735 453,3 785 938,4 064 189
   Channel Islands*,830, 9 971, 8 149, 6 509, 7 648, 7 955, 8 177, 8 322
   Denmark*,208, 110 006, 113 046, 117 416, 118 135, 122 053, 124 942, 134 925
   Estonia,233, 59 566, 69 065, 76 764, 82 277, 84 981, 104 996, 115 194
   Faroe Islands*,234, 4 529, 5 890, 7 174, 7 284, 7 175, 7 671, 7 416
   Finland*,246, 148 777, 172 506, 190 093, 179 283, 176 322, 173 429, 188 091
   Iceland,352, 8 984, 10 999, 13 409, 14 509, 16 294, 18 658, 22 078
   Ireland,372, 503 978, 478 208, 459 095, 427 536, 401 456, 401 855, 392 710
   Isle of Man*,833, 5 637, 4 640, 3 702, 4 317, 4 499, 5 395, 6 216
   Latvia,428, 115 153, 123 578, 129 680, 149 109, 155 499, 203 923, 207 415
   Lithuania,440, 188 405, 191 627, 196 986, 232 639, 292 620, 311 388, 369 405
   Norway*,578, 78 517, 85 771, 92 802, 96 735, 99 636, 103 310, 108 603
   Sweden,752, 118 537, 128 615, 144 107, 149 018, 162 409, 166 428, 180 043
   United Kingdom*,826,1 916 008,1 864 528,1 930 849,2 056 987,2 204 554,2 155 766,2 323 771
  Southern Europe,925,5 197 043,5 861 724,6 263 391,5 715 861,5 883 409,6 040 661,6 907 532
   Albania,8, 70 790, 219 100, 369 669, 448 663, 537 028, 566 624, 607 825
   Andorra,20, 2 003, 2 203, 2 928, 2 986, 4 061, 4 540, 5 830
   Bosnia and Herzegovina,70, 434 393, 703 806, 764 681, 774 336, 812 913, 830 280, 866 907
   Croatia,191, 211 435, 372 266, 471 348, 439 882, 436 936, 430 492, 543 993
   Gibraltar*,292, 6 319, 5 241, 4 277, 4 900, 5 067, 6 150, 6 955
   Greece,300, 488 712, 483 622, 476 519, 417 424, 381 138, 398 946, 521 466
   Holy See*,336,  5,  9,  13,  56,  99,  195,  103
   Italy,380,1 611 594,1 543 857,1 476 637,1 285 240,1 229 031,1 262 079,1 501 829
   Malta,470, 54 248, 54 315, 52 558, 50 426, 49 898, 46 357, 51 109
   Montenegro,499, 38 565, 74 123, 98 048, 77 681, 81 013, 72 700, 71 418
   North Macedonia,807, 215 073, 246 158, 265 195, 228 915, 266 909, 272 076, 336 157
   Portugal,620, 907 691, 934 396, 972 069, 843 650, 940 021, 961 374,1 007 321
   San Marino,674,  845, 1 324, 1 801, 1 609, 1 402, 2 419, 1 421
   Serbia*,688, 348 680, 433 194, 539 023, 469 414, 472 167, 420 550, 506 398
   Slovenia,705, 51 491, 61 115, 66 454, 66 597, 68 512, 75 365, 86 810
   Spain*,724, 755 199, 726 995, 702 171, 604 082, 597 214, 690 514, 791 990
  Western Europe,926,3 275 326,3 390 133,3 602 898,3 903 345,4 352 250,4 424 078,4 826 821
   Austria,40, 270 895, 262 083, 255 157, 265 861, 285 630, 281 367, 319 417
   Belgium,56, 207 488, 213 358, 226 130, 235 051, 265 980, 271 837, 300 709
   France*,250, 643 356, 707 904, 806 762, 892 023,1 013 530,1 095 545,1 202 799
   Germany,276,1 588 365,1 632 010,1 714 751,1 813 302,1 976 971,1 940 952,2 070 781
   Liechtenstein,438, 1 979, 1 714, 1 486, 1 628, 2 024, 1 971, 2 051
   Luxembourg,442, 17 566, 18 635, 19 771, 26 492, 33 159, 36 644, 41 297
   Monaco,492, 2 220, 2 396, 2 594, 9 523, 13 860, 15 402, 17 079
   Netherlands*,528, 363 077, 365 604, 375 171, 392 663, 426 811, 431 463, 485 664
   Switzerland,756, 180 380, 186 429, 201 076, 266 802, 334 285, 348 897, 387 024
 LATIN AMERICA AND THE CARIBBEAN,904,7 728 710,9 943 541,12 446 161,14 842 839,17 780 032,18 623 861,22 193 206
  Caribbean,915,2 166 251,2 688 569,3 237 341,3 527 306,3 998 568,4 332 390,4 825 805
   Anguilla*,660,  879, 1 050, 1 232, 1 205, 1 114, 1 203, 1 212
   Antigua and Barbuda,28, 11 726, 14 771, 17 926, 19 818, 22 679, 28 397, 36 613
   Aruba*,533, 3 281, 3 739, 4 267, 5 252, 7 644, 9 364, 12 130
   Bahamas,44, 14 531, 16 996, 19 564, 19 672, 20 602, 24 850, 31 464
   Barbados,52, 44 666, 47 189, 50 006, 49 024, 51 175, 54 727, 53 705
"   Bonaire, Sint Eustatius and Saba*",535,  219,  266,  321,  375, 3 915, 4 048, 4 491
   British Virgin Islands*,92, 1 754, 1 906, 2 080, 2 232, 2 748, 2 873, 3 012
   Cayman Islands*,136,  169,  431,  719,  700,  746,  913, 1 045
   Cuba,192, 436 142, 488 522, 548 199, 606 844, 696 683, 803 437, 934 594
   Curaçao*,531, 1 079, 1 439, 1 894, 2 291, 24 319, 3 098, 3 811
   Dominica,212, 21 987, 23 811, 25 891, 35 265, 42 298, 42 143, 45 735
   Dominican Republic,214, 261 853, 383 156, 513 415, 583 494, 687 672, 846 122, 944 161
   Grenada,308, 23 638, 29 549, 34 908, 35 788, 36 025, 39 030, 34 632
   Guadeloupe*,312, 3 207, 3 855, 4 515, 5 249, 6 386, 7 319, 7 589
   Haiti,332, 232 024, 299 506, 368 789, 452 240, 535 446, 673 693, 804 775
   Jamaica,388, 320 505, 393 961, 472 377, 502 343, 562 743, 591 249, 643 909
   Martinique*,474, 5 429, 6 458, 7 521, 7 703, 7 881, 7 159, 7 340
   Montserrat*,500, 3 815, 6 393, 9 049, 8 720, 9 534, 11 273, 13 902
   Puerto Rico*,630, 625 666, 768 026, 911 887, 929 213, 994 146, 874 206, 944 847
   Saint Barthélemy*,652,..,..,..,..,..,..,..
   Saint Kitts and Nevis,659, 9 916, 13 196, 16 558, 18 038, 19 675, 22 097, 27 926
   Saint Lucia,662, 11 949, 16 850, 21 885, 26 404, 28 946, 33 738, 41 595
   Saint Martin (French part)*,663,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,670, 19 121, 23 424, 27 328, 28 982, 29 485, 33 230, 29 757
   Sint Maarten (Dutch part)*,534,  363,  468,  595,  623, 1 740,  997, 1 126
   Trinidad and Tobago,780, 109 869, 141 374, 174 387, 183 603, 202 083, 214 059, 193 142
   Turks and Caicos Islands*,796, 1 304,  854,  395,  665, 1 248, 1 418, 1 553
   United States Virgin Islands*,850, 1 159, 1 379, 1 633, 1 563, 1 635, 1 747, 1 739
  Central America,916,3 283 815,4 401 982,5 751 225,6 554 307,7 714 953,7 851 740,7 886 439
   Belize,84, 21 017, 24 310, 27 790, 29 627, 33 014, 36 484, 30 659
   Costa Rica,188, 40 231, 49 354, 60 681, 67 035, 75 684, 79 121, 86 112
   El Salvador,222, 633 376, 470 099, 468 858, 550 417, 666 884, 759 434, 804 890
   Guatemala,320, 172 375, 227 085, 284 942, 361 464, 461 277, 560 261, 691 789
   Honduras,340, 89 578, 140 262, 193 716, 253 140, 337 531, 424 188, 584 004
   Mexico,484,2 037 244,3 202 402,4 389 888,4 940 675,5 746 825,5 565 115,5 237 864
   Nicaragua,558, 221 984, 221 310, 256 425, 285 850, 322 648, 350 472, 379 666
   Panama,591, 68 010, 67 160, 68 925, 66 099, 71 090, 76 665, 71 455
  South America,931,2 278 644,2 852 990,3 457 595,4 761 226,6 066 511,6 439 731,9 480 962
   Argentina,32, 226 575, 251 701, 287 155, 407 751, 475 461, 481 017, 550 257
   Bolivia (Plurinational State of),68, 109 247, 139 074, 169 983, 277 877, 411 279, 433 151, 491 909
   Brazil,76, 269 965, 407 474, 533 690, 682 853, 863 162, 867 193,1 095 206
