"Region, development group, country or area",Notes,Location code,Type of data,1990,1995,2000,2005,2010,2015,2020
   Bosnia and Herzegovina,,70,I R, 2 253, 1 951, 1 910, 1 916, 1 886, 1 748, 1 674
   Croatia,,191,B, 2 461, 2 384, 2 296, 2 270, 2 244, 2 197, 2 126
   Gibraltar*,11,292,B,..,..,..,..,..,..,..
   Greece,,300,B, 5 156, 5 406, 5 574, 5 668, 5 539, 5 427, 5 307
   Holy See*,,336,I,..,..,..,..,..,..,..
   Italy,,380,B, 29 316, 29 422, 29 258, 29 985, 30 621, 31 184, 31 024
   Malta,,470,B,  184,  191,  198,  204,  209,  217,  220
   Montenegro,,499,B,  309,  312,  310,  313,  316,  317,  317
   North Macedonia,,807,B,  992,  988, 1 015, 1 031, 1 036, 1 039, 1 041
   Portugal,,620,B, 5 132, 5 230, 5 331, 5 429, 5 525, 5 458, 5 373
   San Marino,,674,C,..,..,..,..,..,..,..
   Serbia*,,688,B, 4 820, 5 014, 4 832, 4 693, 4 585, 4 526, 4 458
   Slovenia,,705,B, 1 031, 1 025, 1 016, 1 019, 1 031, 1 042, 1 044
   Spain*,,724,B, 19 999, 20 306, 20 784, 22 303, 23 735, 23 756, 23 776
  Western Europe,,926,, 90 332, 92 471, 93 496, 95 163, 96 162, 97 984, 99 772
   Austria,,40,B, 4 029, 4 134, 4 153, 4 242, 4 311, 4 430, 4 567
   Belgium,,56,B, 5 111, 5 200, 5 247, 5 373, 5 567, 5 739, 5 845
   France*,12,250,B, 29 090, 29 715, 30 390, 31 530, 32 421, 33 222, 33 684
   Germany,,276,B, 40 908, 41 796, 41 760, 41 729, 41 208, 41 563, 42 368
   Liechtenstein,,438,B,..,..,..,..,..,..,..
   Luxembourg,,442,B,  195,  208,  221,  232,  256,  282,  309
   Monaco,,492,B,..,..,..,..,..,..,..
   Netherlands*,13,528,B, 7 563, 7 807, 8 037, 8 251, 8 399, 8 518, 8 598
   Switzerland,,756,B, 3 405, 3 579, 3 653, 3 771, 3 964, 4 191, 4 361
 LATIN AMERICA AND THE CARIBBEAN,,904,, 223 232, 244 036, 264 064, 282 556, 299 936, 316 797, 332 334
  Caribbean,,915,, 17 153, 18 233, 19 243, 20 070, 20 827, 21 552, 22 038
   Anguilla*,14,660,B R,..,..,..,..,..,..,..
   Antigua and Barbuda,,28,B R,  32,  36,  40,  43,  46,  49,  51
   Aruba*,15,533,B R,  31,  41,  47,  52,  53,  55,  56
   Bahamas,,44,B R,  129,  142,  153,  167,  183,  193,  202
   Barbados,,52,B R,  135,  138,  141,  144,  147,  148,  148
"   Bonaire, Sint Eustatius and Saba*",16,535,B,..,..,..,..,..,..,..
   British Virgin Islands*,18,92,B R,..,..,..,..,..,..,..
   Cayman Islands*,19,136,C R,..,..,..,..,..,..,..
   Cuba,,192,B, 5 290, 5 441, 5 579, 5 648, 5 642, 5 697, 5 703
   Curaçao*,20,531,B R,  76,  76,  70,  69,  81,  87,  89
   Dominica,,212,B,..,..,..,..,..,..,..
   Dominican Republic,,214,B R, 3 544, 3 893, 4 227, 4 522, 4 829, 5 134, 5 430
   Grenada,,308,B,  49,  51,  52,  52,  53,  54,  56
   Guadeloupe*,21,312,B,  199,  208,  218,  213,  218,  215,  216
   Haiti,,332,B R, 3 577, 3 934, 4 296, 4 664, 5 042, 5 416, 5 776
   Jamaica,,388,B R, 1 226, 1 280, 1 334, 1 382, 1 413, 1 454, 1 492
   Martinique*,22,474,B R,  185,  193,  205,  212,  212,  203,  203
   Montserrat*,23,500,B,..,..,..,..,..,..,..
   Puerto Rico*,24,630,B, 1 758, 1 849, 1 905, 1 891, 1 861, 1 764, 1 505
   Saint Barthélemy*,,652,,..,..,..,..,..,..,..
   Saint Kitts and Nevis,,659,B R,..,..,..,..,..,..,..
   Saint Lucia,,662,B R,  70,  75,  80,  83,  88,  91,  93
   Saint Martin (French part)*,,663,,..,..,..,..,..,..,..
   Saint Vincent and the Grenadines,,670,B R,  54,  54,  53,  54,  53,  54,  55
   Sint Maarten (Dutch part)*,25,534,B R,..,..,..,..,..,..,..
   Trinidad and Tobago,,780,B R,  613,  629,  636,  653,  670,  693,  709
   Turks and Caicos Islands*,26,796,B R,..,..,..,..,..,..,..
   United States Virgin Islands*,27,850,B,  53,  55,  56,  56,  55,  55,  55
  Central America,,916,, 57 223, 63 205, 68 794, 74 436, 80 351, 86 173, 91 619
   Belize,,84,B R ,  93,  103,  123,  141,  161,  181,  200
   Costa Rica,,188,B R, 1 548, 1 763, 1 974, 2 137, 2 285, 2 422, 2 549
   El Salvador,,222,B R, 2 699, 2 897, 3 052, 3 164, 3 257, 3 351, 3 450
   Guatemala,,320,B R, 4 661, 5 273, 5 934, 6 674, 7 444, 8 257, 9 088
   Honduras,,340,B R, 2 494, 2 873, 3 305, 3 744, 4 169, 4 563, 4 956
   Mexico,,484,B R, 42 403, 46 592, 50 342, 54 168, 58 267, 62 264, 65 861
   Nicaragua,,558,B R, 2 103, 2 348, 2 562, 2 755, 2 955, 3 156, 3 360
   Panama,,591,B R, 1 222, 1 357, 1 503, 1 654, 1 812, 1 978, 2 155
  South America,,931,, 148 856, 162 598, 176 026, 188 050, 198 759, 209 073, 218 677
   Argentina,,32,B R, 16 734, 17 884, 18 976, 19 996, 20 997, 22 086, 23 147
   Bolivia (Plurinational State of),,68,B R, 3 413, 3 786, 4 183, 4 585, 4 992, 5 406, 5 815
   Brazil,,76,B R, 74 925, 81 605, 88 209, 94 125, 99 177, 103 814, 108 124
   Chile,,152,B, 6 755, 7 310, 7 794, 8 220, 8 666, 9 125, 9 691
   Colombia,,170,B, 16 787, 18 525, 20 203, 21 747, 23 063, 24 232, 25 898
   Ecuador,,218,B R, 5 087, 5 700, 6 316, 6 892, 7 491, 8 097, 8 819
   Falkland Islands (Malvinas)*,28,238,B,..,..,..,..,..,..,..
   French Guiana*,29,254,B R,  55,  66,  79,  102,  117,  132,  151
   Guyana,,328,B R,  377,  387,  375,  372,  377,  384,  391
   Paraguay,,600,B R, 2 084, 2 355, 2 622, 2 867, 3 070, 3 285, 3 508
   Peru,,604,B R, 11 093, 12 197, 13 269, 13 973, 14 554, 15 337, 16 593
   Suriname,,740,C R,  199,  217,  233,  248,  263,  278,  292
   Uruguay,,858,B R, 1 601, 1 662, 1 713, 1 719, 1 740, 1 766, 1 795
   Venezuela (Bolivarian Republic of),,862,B R, 9 744, 10 902, 12 053, 13 202, 14 250, 15 129, 14 451
 NORTHERN AMERICA,,905,, 142 516, 149 673, 158 448, 165 708, 173 670, 180 392, 186 289
   Bermuda*,30,60,B,..,..,..,..,..,..,..
   Canada,,124,B, 13 885, 14 726, 15 436, 16 219, 17 206, 18 163, 19 010
   Greenland*,31,304,B,..,..,..,..,..,..,..
   Saint Pierre and Miquelon*,32,666,B,..,..,..,..,..,..,..
   United States of America*,33,840,B, 128 571, 134 885, 142 949, 149 425, 156 401, 162 166, 167 217
 OCEANIA ,,909,, 13 630, 14 694, 15 696, 16 824, 18 383, 19 905, 21 314
  Australia and New Zealand,,927,, 10 231, 10 906, 11 483, 12 218, 13 300, 14 353, 15 253
   Australia*,,36,B, 8 506, 9 042, 9 518, 10 108, 11 075, 12 007, 12 801
   New Zealand*,34,554,B, 1 726, 1 864, 1 965, 2 110, 2 224, 2 346, 2 452
  Melanesia,,928,, 2 932, 3 283, 3 673, 4 044, 4 513, 4 965, 5 452
   Fiji,,242,B R,  358,  381,  399,  403,  421,  427,  442
   New Caledonia*,,540,B,  83,  94,  107,  117,  126,  134,  142
   Papua New Guinea,,598,C R, 2 267, 2 551, 2 875, 3 192, 3 591, 3 973, 4 379
   Solomon Islands,,90,B R,  152,  175,  201,  230,  260,  297,  338
   Vanuatu,,548,B R,  71,  82,  90,  103,  116,  134,  151
  Micronesia,,954,,  201,  222,  241,  247,  249,  258,  272
   Guam*,35,316,B,  61,  70,  76,  78,  78,  80,  84
   Kiribati,,296,B,  37,  39,  43,  47,  52,  56,  61
   Marshall Islands,,584,B,..,..,..,..,..,..,..
   Micronesia (Fed. States of),,583,B,  47,  53,  53,  52,  51,  54,  57
   Nauru,,520,C R,..,..,..,..,..,..,..
   Northern Mariana Islands*,36,580,B,..,..,..,..,..,..,..
   Palau,,585,B,..,..,..,..,..,..,..
  Polynesia*,,957,,  266,  283,  299,  316,  322,  328,  337
   American Samoa*,,16,B,..,..,..,..,..,..,..
   Cook Islands*,37,184,B R,..,..,..,..,..,..,..
   French Polynesia*,38,258,B R,  96,  105,  117,  126,  130,  134,  139
   Niue*,39,570,B,..,..,..,..,..,..,..
   Samoa,,882,B R,  78,  82,  84,  87,  90,  93,  96
   Tokelau*,40,772,B R,..,..,..,..,..,..,..
   Tonga,,776,B R,  47,  47,  48,  50,  52,  50,  53
   Tuvalu,,798,C,..,..,..,..,..,..,..
   Wallis and Futuna Islands*,41,876,B R,..,..,..,..,..,..,..
